Current St #,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Year Current Building Built
199 (off),-,,-,Busy Bee Letterbox,Busy Bee Letterbox,,,Busy Bee Letter Box,,,,,"Busy Bee Letter Box / The Perth Night Watch Patroling Co. (F M Dean Mirza, superintendent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"Caird, George. Fruiterer & Confectioner","Caird, George. Fruiterer & Confectioner","Caird, George. Fruiterer & Confectioner","Mrs A. Wren, ham & beef","Anthony Picone, Confectioner","Mrs Hardy, Wine Saloon",,Mrs Hardy. Wine Saloon & Confectioner,,,,,Young Brothers Wine Saloon,,,,,,,,,,"Symonds, Edwin, sd & plant merchant",,,,,,,,,,,,,,,,,,,"Symonds Edwin, and plant mchnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sauma, Modern Indian Restaurant",1897
201,,,Mrs D Cohen. Dressmaker & Milliner,,"Sidney J. Kembrey, Leather & Grindery",,,Sydney Kaberry. Leather & Grindery,,,,,"Albert Hutchins, Bootmaker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georges & Christo, Mixed Businesses; Symonds Edwin, and plant mchnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northbridge Bargain Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Bee Pharmacy,1894
202,"David Rosen, pawnbroker","Rosen David, pawnbroker",Phillip Rosen Pawn Broker,"David Rosen, Pawn Broker","David Rosen, Pawn Broker","David Rosen, Pawn Broker",,"David Rosen, pawnbroker",,,,,Phillip Rosen Pawn Broker,,,,,,,,,,"Symonds, Edwin, sd & plant merchant",,,,,,,,,,,,,,,,,,,"Symonds Edwin, and plant mchnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precision Photographic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Bee Pharmacy,1897
203,,,-,"Vasla Zako, Fish Saloon","Vasla Zako, Fish Saloon",,,S Lucas. Fish Shop,,,,,S Lucas. Fish Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medd K L, Chemist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medd's Pharmacy,Medd's Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Bee Pharmacy,1894
204,Jno. N Birks. Chemist.,Griffiths W.A. chemist,,,,"E. Baker, Furniture Maker",,"Mary A Daniels, Furniture Dealer; William Daniels, Carrier",,,,,"Mary A Daniels Furniture Dealer; Jas Wilson; William Daniels, Carrier",,,,,,,,,,"Menara, V, cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franco's Coffee Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Bee Pharmacy,1897
205,"Joe Johnson, Fishmonger",,W Grittiths Almond. Chemist,"William Flint, Tobacconist","William Flint, Tobacconist",,,William Flint. Tobacconist & Hairdresser,,,,,William Flint. Tobacconist & Hairdresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scotis N, hairdresser and tobacconist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Spina & Kotula Estate Agents,La Spina & Kotula Estate Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Bee Pharmacy,1894
205(upstairs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Angelo Kouvaras. Fruiterer & Confectioner,,Ernest J Foreman. Restaurant,Ernest J Foreman. Restaurant,"Ernest J Foreman, Restaurant","Ernest J Foreman, Restaurant",,Ernest J Foreman. Restaurant,,,,,Union Cafe (Mrs D Carter),,,,,,,,,,Bank of NSW,,,,,,,,,,,,,,,,,,,Bank of NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bank of NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911
207,-,,Hing Wing & Co. Fruiterers,"Hing, Wing & Co. Fruiterers","Hing, Wing & Co. Fruiterers",,,Hing Wing & Co. Fruiterers,,,,,Hing Wing & Co. Fruiterers & Greengrocers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dean Abdul M, Herbalist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1894
208,"L Shuhen, Herbalist","Lewis, Mrs Ethel",,"Mrs E. J. Cooper, Costumiere","Edward Cooper
Mrs E. J. Cooper, Costumiere","Mrs N. Phillips, Dressmaker",,"Mrs L(ouisa?) Thorburn, Lodging house",,,,,Mrs L Stephens,,,,,,,,,,"Mistrorigo & Lankester, chemist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Agency,Merizzi Travel Service WA,,,,,,,,,1923
209,Great Western Hotel. E. B Porter,,Great Western Hotel.  Ethelbert B Porter,"Great Western Hotel, Ethelbert B Porter","Great Western Hotel, John Quigley",,,Great Western Hotel.  George A Kentish,,,,,Great Western Hotel.  F R Chalk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Western Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Western Hotel,,,,,,The Brass Monkey Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,Brass Monkey Hotel,1896
209a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northbridge Dining Bazaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grapeskin Bottle Shop,
210,Alfred E Apps,Ramsden Mrs Elizabeth,Fredrick Southern,Fredrick Southern,William Bryant,"Mrs E. Clifford, Boarding House",,Miss M Mckinley. Boarding house,,,,,"Mrs Mary Wilson, Boarding house",,,,,,,,,,"Downs, Mrs A D, tea rooms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merizzi Travel Agency,Merizzi Travel Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923
210a,,"Ryder Jas, engraver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merizzi Travel Agency,Merizzi Travel Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,-,,,,,,,,,,,,,,,,,,,,,,Genl Embroidery Wks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venezia Tailors,"Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White","Arcane Bookshop, Terri-Ann White",,,Vacant,Vacant,Vacant,"New Edition, Book Store/Cafe","New Edition, Book Store/Cafe","New Edition, Book Store/Cafe",Northside Books (formerly New Edition),Northside Books (formerly New Edition),1923
213,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Mrs E Johnstone,Johnstone Mrs E,,Mrs. E Johnstone,Mrs. E Johnstone,"John Vaughn, Boarding House",,"Edwin J White, Lodging House",,,Jonathan Quinlan,,Mrs C Penny. Lodging house,,,,,,,,,,"Nationa Bank of Australasia Pty Ltd (W Choyce, mgr)",,,,"Nationa Bank of Australasia Pty Ltd (W Choyce, mgr)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Bank of Australia,,,,,,,,,,,,,,,,,,,,,,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,,1921
215,D. H Lillingston. Watchmaker & Jeweller,,D. H Lillingston. Watchmaker & Jeweller,D. H Lillingston. Watchmaker & Jeweller,"Daniel H. Lillingston, Watchmaker & Jeweller",,,Daniel H Lillingston. Watchmaker & Jeweller,,,,,"E E Jones, Hairdresser & Tobacconist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Luisini E, Clothier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,A. Picone. Fruiterer,,A. Picone. Fruiterer,A. Picone. Fruiterer,"T. Lewis Keegan, Fruiterer",,,Peter Wood. Fruiterer & Confectioner,,,,,Sydney Young. Wine Saloon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Luisini E, Clothier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,William Kenney,Barkle Mrs Lydia,Mrs E Johnstone,"Mrs E. James, Music Teacher",Joseph Gould,Joseph Gould,,Miss A Moran. Lodging house,,,,,Mrs M Quinn. Lodging House,,,,,,,,,,"Kelly, Mrs E, dng rms",,,,,,,,,,,,,,,,,,,,,,,,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,S. Forte & Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923
219,Power Bros. Plumbers &c,,Power Bros. Plumbers &c,Power Bros. Plumbers & c,Power Bros. Plumbers & c,,,Power Bros. Plumbers &c,,,,,Albany Bell Ltd. Confectioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Luisini E, Clothier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,"Rosen Dave, pawn broker",,,,,,,,,,,,,,,,,,,"Beckman B, dealer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?Tailor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merge Clothing,1923
221,"Joseph Garcia, Hairdresser",,Edward Hubble. Ham & Beef Shop,"Mrs A. Rickard, Dressmaker","Mrs A. Rickard, Dressmaker",,,"Jos Rickard, Broker; Mrs A Rickard, Dressmaker",,,,,"Mrs A Rickard, Dressmaker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Luisini E, Wine Saloon",,,,,Covent Garden Wine Saloon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sicari Stationary,,,,,,,,,,,,,,,,,,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,Universal Bar,
222b,,,"W. S. Goon & Co, banana importers",,,,,,,,,,,,,,,,,,,,"Radin, A, conf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924
222,,,,,,,,,,,,,,,,,,,,,,,"Wachman & Sons, drprs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?Travel Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924
222a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924
223,George H Adkins. Ironmonger,,George H Adkins. Ironmonger,George H Adkins. Ironmonger,"William Johns, Grocer",,,Harry C George. Frocer,,,,,"Mrs Matthews, Dealer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,George's Tailoring Co. ,George's Tailoring Co. ,George's Tailoring Co. ,George's Tailoring Co. ,George's Tailoring Co. ,George's Tailoring Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver Dollar Wine House & Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucky 7 Star Convenience Store,
224,Jno McCann,Whittaker Mrs Sarah,,Mrs Rose McDonough,Mrs Rose McDonough,Mrs Rose McDonough,,"Mrs J Slater, Boarding house",,,,,Mrs T Rosmanich. Lodging House,,,,,,,,,,Rechabites Hall,,,,,,,,,,,,,,,,,,,,,,,M. Kamenoff Ladies & Gents tailor,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayfair Photographics (maybe),,,,Gino's Photographic Studio,,,Giotto Arts Studio,Giotto Arts Studio,Giotto Arts Studio,Giotto Arts Studio,,,,,,,,,,,,,,,,,,,,,,,,,,1924
225,George H Adkins. Ironmonger,,George H Adkins. Ironmonger,George H Adkins. Ironmonger,"William Johns, Grocer",,,Mrs E L Ethell. Lodging house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krasnostein J, Hardware Dealer",,,,,"Paul Silvestri, 225A William Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANZ Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peterpans Adventure Travel,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,William Beaumont. Butcher,,William Beaumont. Butcher,"William N Beaumont, Butcher","William N. G. Beaumont, Butcher",,,Walter C Alldis. Butcher,,,,,"Owen Trevett, Butcher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pethick Leonard, Butcher","Pethick Leonard, Butcher","Pethick Leonard, Butcher","Pethick Leonard, Butcher","Pethick Leonard, Butcher","Pethick Leonard, Butcher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northbridge Newsagency,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Edward Moss. Phrenologist,,Thos White,Thomas White,Thomas White,,,"Thos White, Lodging house",,,,,Mrs Martha Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clonzas G, Grocer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OnC Hair Studio,
230,-,,,,,,,,,,,,,,,,,,,,,,Famous Lasky Film Service Ltd (reg ofce),,,,,,,,,,,,,,,"Paramount Film Service, Pty Ltd, film exchange","Paramount Film Service, Pty Ltd, film exchange","Paramount Film Service, Pty Ltd, film exchange","Paramount Film Service, Pty Ltd, film exchange","Paramount Film Service, Pty Ltd, film exchange","Paramount Film Service, Pty Ltd, film exchange","Paramount Film Service, Pty Ltd, film exchange","Paramount Film Service, Pty Ltd, film exchange","Paramount Film Service, Pty Ltd, film exchange","Paramount Film Service, Pty Ltd, film exchange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,River Cruise Supper Club,River Cruise Supper Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xotica,c. 1925; second storey 1995
231,Jas. H Barkle,,Edward J Villa,Mrs Margaret McCradden,Miss Margaret McCradden,,,Miss M McCradden. Lodging House,,,,,Miss M McCradden. Lodging House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders","Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders","Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders","Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders","Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders","Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Kee Chong. Laundry,,,"W. S. Goon & Co. Banana Importers
Miss Ochima, Confectioner",W. S. Goon & Co. Banana Importers,"J. G. W Vernon, Small Goods",,J G W Vernon. Smallgoods,,,,,S Lazell Herbalist,,,,,,,,,,"Marzo, Alfred, tlr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Robert Raftis,,Edward J Laugham,Mrs Cath McKrenner,Mrs Cath McKrenner,,,Patrick J Kiernan. Lodging House,,,,,Mrs Ethel Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Theodesia Dyson. Furniture Dealer,"Dyson Theodosia, furniture dealer",Theo Dyson. Furniture Dealer,,"Mrs R Nathan, Furniture Dealer","J. Isicman, Picture Framer
I. Mossenson, Watch Maker",,"Jacob Jacobs; I Mossenson, Watchmaker",,,,,I Mossensen Watchmaker,,,,,,,,,,"Milevich, Matt, ldghouse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Aurora Nightclub,The Aurora Nightclub,,,,,,,,,,,,,,,,,,,,,,,Club 234,,,,,,,,,1897
235,Heinrich Schmidt. Lock & Gunsmith,,Heinrich Schmidt. Lock & Gunsmith,"Heinrich Schmidt, Lock & Gunsmith","Heinrich Schmidt, Lock & Gunsmith",,,Heinrich Schmidt senior. Lock & Gunsmith,,,,,Heinrich Schmidt senior. Lock & Gunsmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northline Coffee Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Theodesia Dyson. Furniture Dealer,"Dyson Theodosia, furniture dealer",,,,"Mrs E. McDonald, Confectioner & Fruiterer",,Jno J Stewart. Confectioner & Fruiterer,,,,,Mrs B H Curtis. Confectioner,,,,,,,,,,"Wrightson, E, hairdresser",,,,,,,,,,,,,,,,,,,New Zealand dining restaraunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notturno Cafe,Notturno Cafe,,,,,,,,,,,,,,,,,,,,,,,Backpackers World Travel,,,,,,,,,1897
237,Arthur G Marflett. Land Agent,,Arthur G Marflett. Land Agent,"Arthur G Marflett, Land Agent","Arthur G Marflett, Land Agent
William Sherwood, Fruiterer",,,A J Cambridge & Co. Estate Agents,,,,,A J Cambridge & Co. Estate Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Papas Nick, Tailors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northbridge News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Onnie __ Confectioner,"Onnie -, confe",Onnie __ Confectioner,,"Miss Ochima, Confectioner","Miss Ochima, Confectioner",,William Brown Saddler,,,,,William Brown Saddler,,,,,,,"MAX SIMONS, elastic
goods manufacturer.",,,"Lee, Mrs Annie, dng rms",,,,,,,,,Marchesi,,,,,,,,,,,,,,,Marchesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897
