Current St #,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Year Current Building Built
239,"Miss J McKinnon, Stationer",,"Miss J McKinnon, Stationer","Miss K. Daven, Stationer","Miss K. Daven, Stationer",,,Miss K F Davern. Stationer,,,,,Mrs E Griffiths. Stationer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hassett Richard J, Newsagent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"Lee Hang, Laundry","Hang Lee, Laundry","Lee Hang, Laundry","Lee Hang, Laundry","Lee Hang, Laundry","Lee Hang, Laundry",,"Lee Hang, Laundry",,,,,Lee Hang Laundry,,,,,,,,,,"Hang Lee, lndry",,,,,,,,,,,,,,,,,,,,,,,,Marchesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marchesi Menswear,Marchesi Menswear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897
241,Mrs Annie Richards. Dressmaker,,Mrs Annie Richards. Dressmaker,"Jesse Verrier, Bootmaker","William H. Jeffries, Bootmaker",,,Harry. G. Campbell. Cycle Depot,,,,,Harry. G. Campbell. Cycle Depot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WA Drycleaners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny's Shoe Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U &I 24 hr pho,
242 Ground,A Lucien Mosconas. Fruiterer,Bensky Jos. Carpenter & Joiner,Jos Bensky Carpenter,Jos Bensky Carpenter,"Joseph Bensky, Furniture Manufacturer","Joseph Bensky, Furniture Manufacturer",,Jos Bensky Furniture Manufacturer,,,,,Jos Bensky Furniture Manufacturer,,,,,,,,,,Macedonian & Jugo-Slav Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lovecraft Adult Store,Echo Travel Service,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild Lily Empire,Wild Lily Empire / Ruck Rover General Store (from August 2012),Ruck Rover General Store,Ruck Rover General Store,Ruck Rover General Store,1905
242 First Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oh Henry Vintage,Yoga Alchemy (mid year),Yoga Alchemy,Yoga Alchemy,
243,"Swan Drug Co. (Fred. W E Danker, manager)",,"Swan Drug Co. (Fred. W E Danker, manager)","Swan Drug Co. (Fred W. E .Danker, Manager)","Swan Drug Co. (Fred W. E .Danker, Manager)",,,"Swan Drug Co. (Fred. W E Danker, manager)",,,,,"Swan Drug Co. (Fred. W E Danker, manager)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athanasou M D, Fruitier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marchesi Menswear,,,,,,,,,
245,Harold Martin. Music Warehouse & Piano Tuner,,Harold Martin. Music Warehouse & Piano Tuner,"Harold Martin, Music Warehouse & Piano Tuner","Harold Martin, Music Warehouse & Piano Tuner",,,Harold Martin. Music Warehouse & Piano Tuner,,,,,Jno. Mallard. Grocerer  & Fruiterer,,,,,,,David Wells Cash Grocer,,,,,,,,,,,,,,,,,,,,,,"Enright Mrs A, Wine Saloon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casa Latina Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,Han's Cafe,Han's Cafe,Han's Cafe,Han's Cafe,Han's Cafe,Han's Cafe,Han's Cafe,1897
246,Jas Billings,McCormack Mrs M,Mrs M McCormack,John Freeman,John Freeman,Herbert Alver,,"Mrs M Cunningham, Lodging house",,,,,Miss I Wiggins Dressmaker,,,,,,,,,,"Thomas Mrs E A, dlr and dyer",,,,,,,,,,,,,,,,,,,City Electric Co. elec contractors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westpac Banking Corp,vacant,,,,,,,,,,,,,,,,,,,,,,,Vacant,,,,,,,,,1914-1925
247,Gleeson Jno. Hairdresser & Tobacconist,,Gleeson Jno. Hairdresser & Tobacconist,"John Gleeson, Hairdresser & Tobacconist","John Gleeson, Hairdresser & Tobacconist",,,Gleeson Jno. Hairdresser & Tobacconist,,,,,Gleeson Jno. Hairdresser & Tobacconist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Britannia Bootmakers, Boot Repairers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1897
248,,,-,,,,,,,,,,,,,,,,,,,,"Thomas Mrs E A, dining rooms",,,,,,,,,,,,,,,,,,,"Rosenberg Marcus, second hand dealer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,-,,Francis P Barrett. Ham & Beef shop,Francis P Barrett. Ham & Beef shop,"Mrs M. Heads, Small Goods",,,Francis P Barrett. Smallgoods,,,,,Miss A Purcell. Small goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tompkin A A, Refreshment Rooms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1897
250,,,-,,,,,,,,,,,,,,,,,,,,"Salter, R, estate agent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1897
252,Mrs Ellen Brown,Brown Mrs Ellen,Mrs Ellen Brown,Mrs Sarah F. James,Mrs Sarah F. James,"Mrs E. McDonald, Boarding House",,Jno Duffy. Boarding House,,,,,Jno Duffy. Boarding House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,La Sposa Bridal,,,,,,,,,,,,,,,,,,,,1897
253,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),,,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),,,,,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britannia Coffee Palace,,,,,,,,,,,,,,,,,,,,,,,,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,Britannia Hostel,"253A - Seoul Buffet Korean Bbq and Steamboat
253 - Britannia Hostel",1897
254,,,-,,,,,,,,,,Jno Duffy. Boarding House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,Northbridge Emporium,,,,,,,,,,,,,,,,,,,,1897
255,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),,,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),,,,,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britannia Coffee Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897
256,,,-,,,,,,,,,,Jno Duffy. Boarding House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,,,,,,,,,,,,,,,,,,,,
257,"Alex Patman, Wine Saloon",,"Alex Patman, Wine Saloon","Alex Patman, Wine Saloon","Alex Patman, Wine Saloon",,,"Alex Patman, Wine Saloon & Fruiterer",,,,,"Alex Patman, Wine Saloon, Confectioner & Fruiterer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britannia Coffee Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897
258,Mrs H. McFie,McFie Mrs H Attridge J.F. coach painter,Mis H McFie,Mrs H. McFie,Mrs H. McFie,Mrs H. McFie,,Mrs H Macphie,,,,,Jno Duffy. Boarding House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,R&I Bank,,,,,,,,,,,,,,,,,,,,1897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,"Alex Patman, Wine Saloon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ridolfo Carmelo, Hairdresser and Tobacconist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harry Highpants,,,,,,,1897
260,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graham J H Tent mkr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outre Gallery,1928
261,,,,"Vic. Cohen, Carrier
Mrs M. Cohen, Dressmaker","Vic. Cohen, Carrier",,,Earnest Matthews. Dealer,,,,,W J Shaw. Bootmaker & Importer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Duduman A, Tailor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sicari Stationary,Sicari Stationary,Sicari Stationary,Sicari Stationary,Sicari Stationary,Sicari Stationary,Sicari Stationary,Sicari Stationary,Sicari Stationary,Sicari Stationary,Sicari Stationary,1897
262,J. F Attridge. Coach Painter,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928
263,G. W. Underwood. Bootmaker,,"MIlitary Cadet Club. Lieut. Robert Jackson, Sec.","MIlitary Cadet Club. Lieut. Robert Jackson, Sec.",,,,W Jackson. Cutler,,,,,C Strickland. Tailor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Drycleaners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hair Etc,,,,,,,1897
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Snowhite Towel and Overall Serv, ltd, lndry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joy Tours,1928
265,"Henry Cohen, Furniture Dealer",,Jno G Kaye. Electrician,Western Dairy Co. William H. Taylor,"Western Dairy Co. William H. Taylor
Oddfellers' Hall, James R. Bolt (Secretary) *this might be 266 as recorded in 1911.",,,Western Dairy Co (William H Taylor),,,,,Western Dairy Co (William S Collings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Turner A S, Accountant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lovecraft Restricted Bookshop,,,,,,,,,,,,,,,,,,,,,,,,,,Optima Vision,Optima Vision,Optima Vision,Optima Vision,Optima Vision,Optima Vision,Optima Vision,1897
266,William H Jones Furniture Dealer,Jones W furniture dlr,William H Jones Furniture Dealer,"William H Jones Furniture Dealer
William H Jones, Oddfellers' Hall","William H. Jones, Furniture Dealer","William H. Jones, Furniture Dealer",,William H Jones Furniture Dealer,,,,,William H Jones Furniture Dealer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rappeport Gilbt, furn mfr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joy Tours,,,,,,,,,1906
267,Oddfellows' Hall,,Oddfellows' Hall,,,,,"Oddfellows' Hall (S G Uren, sec)",,,,,"Manchester Unity Hall (A S Green, Grand Secretary)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Man Sun J C, laundry; Manchester Unity Hall; MUIOOF lodge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginger's Nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,The Burlesque Lounge,,,,,,Paper Mountain,
267a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Dairy Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,Il Vero Gusto,,,,,,Little Willy's,
267B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giannasi P, Greengrocer and Fruitier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hopper's Home Brew,,,,,,,,,,,,,,,,,,,,,,,,,,Vinnies Retro,Vinnies Retro,Vinnies Retro,Vinnies Retro,Vinnies Retro,Vinnies Retro,Vinnies Retro,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wing Loong News and Books,,,,,,,,,1906
269,"Sutherland & Dadd, Engineers",,"Sutherland & Dadd, Engineers","Sutherland & Dadd, Engineers","Sutherland & Son, Engineers",,,"Sutherland & son, Engineers",,,,,"Sutherland & son, Engineers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dorigo Jno, Tailor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elia's Coffee Lounge,,,,,,,,,,,,,,,,,,,,,,,,,,Joy Cafe,Joy Cafe,Joy Cafe,Joy Cafe,Joy Cafe,Joy Cafe,Joy Cafe,
269a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swan Gymnasium phys culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Mrs Minnie Brown. Tobacconist,"Brown Mrs Minnie, tobacconist",Mrs Minnie Brown. Tobacconist,"Mrs Minnie Brown, Tobacconist","Mrs Minnie Brown, Tobacconist","Mrs Minnie Brown, Tobacconist",,Mrs D Gotlieb. Dressmaker,,,,,Thomas Locke Fish Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Hill Bakery,Red Hill Bakery,Red Hill Bakery,Red Hill Bakery,,,,,,1896
271,Jas. A Jewell. Baker & Confectioner,,Jas. A Jewell. Baker & Confectioner,Jas. A Jewell. Baker & Confectioner,"James A. Jewell, Baker & Confectioner",,,"Mrs  K Fielder, Baker & Confectioner",,,,,W E Gladstone. Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"De Ceglic Glovanni, Hairdresser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frank Rando, Continental Hair Specialist",,,,,,,,,,,,,,,,,,,,,,,,,,Internet Station,Internet Station,,,,,,1890
272,J Tie Chan. Artist,Klein M dealer,George Sallur. Bootmaker,George Sallur. Bootmaker,"Joseph Richards, Bootmaker","Joseph Richards, Bootmaker",,Jos Richards Bootmaker,,,,,Jos Richards Bootmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Christo P P, tailor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Phones,,,,,,,,,1896
273,Thos Richards. Grocer,,Telfer's CIty Steam Laundry (Receiving office),"William Rosevear, Plumber","William Rosevear, Plumber",,,"Victor Cohen, Carrier",,,,,"W J Richmond, Fruiterer & Confectioner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Italiano A, Tailor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Estate Agency,,,,,,,,,,,,,,,,,,,,,,,,,,"WA's Chinese Videos, Books & News","WA's Chinese Videos, Books & News",,,,,,1890
273a,,,Miss A Latham. Dressmaker,,,,,Mrs M Cohen. Refreshment Rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Goon Goon Laundry,Goon Goon Laundry,Goon Goon Laundry,Goon Goon Laundry,Goon Goon Laundry,Goon Goon Laundry,,Goon Goon Laundry,,,,,Goon Goon Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marchest and Moretto, tailors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Student Centre,,,,,Periscop Clothing,,,Periscop Clothing,1897
275,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Patman E G & L M, Refreshment Rooms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Belle Epoque French Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,Golden King BBQ,Golden King BBQ,,,,,,1890
276 - GROUND,,Kaye J.G. electrician and gas fitter,"Austin Lee, Cycle Dealer","Joe Fletcher, Butcher","Joseph H. Fletcher, Butcher","Joseph H. Fletcher, Green Grocer",Baker F.E. Butcher,"James Cringlington, confectioner & fruiterer ",,,,,Mrs D Gotlieb Dressmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Isaia Mrs F, dressmaker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kim Restaurant,,,,,,,,Keith + Lottie,"Keith + Lottie, Keith + Lottie Gallery","Keith + Lottie, Keith + Lottie Gallery, The Butcher Shop","Keith + Lottie, Keith + Lottie Gallery, The Butcher Shop","Keith + Lottie, Keith + Lottie Gallery, The Butcher Shop",The Butcher Shop,The Butcher Shop,The Butcher Shop,The Butcher Shop,The Butcher Shop,The Butcher Shop,The Butcher Shop,1897
276 - First Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Studio Robot,Studio Robot,Studio Robot,"Studio Robot, Whitegoods","Studio Robot, Whitegoods","Studio Robot, OnWilliam","Studio Robot, OnWilliam","Studio Robot, OnWilliam","Studio Robot, OnWilliam","Studio Robot, OnWilliam","Studio Robot, OnWilliam, Mend Consulting, Sarah McCloskey (artist), Aidan Garnett (Graphic Design)","Studio Robot, OnWilliam, Mend Consulting, Sarah McCloskey (artist), Aidan Garnett (Graphic Design)",1897
277,"T. Walton Jones, Draper",,"T. Walton Jones, Draper","T. Walton Jones, Draper","Walton T. Jones, Draper & Stationer",,,"T. Walton Jones, Storekeeper",,,,,Blue Bros. Drapers & Iron Mongers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rappeport G, French Polisher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890
278,,,-,,,,,George H Tomlinson. Hairdresser & Tobacconist,,,,,"Robert J Milligan, Tobacconist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marto Spiro, mix bus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chung Wah Association,,,,,,,,,1913/14
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villa Italia,Villa Italia,Villa Italia,Villa Italia,Villa Italia,,,,,,,,,
